Algorithm,Imputer,Imbalance,Metric,Score
LogisticRegression,KNNImptuer__SimpleImputer_mode,OriginalData,Train-FN,195.0
DecisionTree,KNNImptuer__SimpleImputer_mode,OriginalData,Train-FN,0.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,OriginalData,Train-FN,630.0
KNN,KNNImptuer__SimpleImputer_mode,OriginalData,Train-FN,68.0
SVM,KNNImptuer__SimpleImputer_mode,OriginalData,Train-FN,91.0
LogisticRegression,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-FN,202.0
DecisionTree,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-FN,0.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-FN,600.0
KNN,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-FN,58.0
SVM,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-FN,106.0
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Recall,97.21
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Recall,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Recall,91.01
KNN,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Recall,98.94
SVM,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Recall,98.64
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Recall,97.21
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Recall,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Recall,91.01
KNN,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Recall,98.94
SVM,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Recall,98.64
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Recall,97.21
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Recall,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Recall,91.01
KNN,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Recall,98.94
SVM,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Recall,98.64
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Recall,97.17
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Recall,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Recall,91.37
KNN,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Recall,99.01
SVM,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Recall,98.38
LogisticRegression,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Recall,97.21
DecisionTree,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Recall,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Recall,90.97
KNN,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Recall,99.03
SVM,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Recall,98.7
LogisticRegression,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Recall,97.21
DecisionTree,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Recall,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Recall,90.97
KNN,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Recall,99.03
SVM,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Recall,98.7
